,PCR,수정주가,CPS,code,year
2018/12(IFRS연결),3.85,"51,600","13,402",078935,2018
2019/12(IFRS연결),3.08,"51,600","16,752",078935,2019
2020/12(IFRS연결),2.05,"37,550","18,355",078935,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",3.65,"39,100","10,707",078935,2021
2017/12(IFRS연결),-1.01,,"-68,185",071050,2017
2018/12(IFRS연결),-1.22,,"-48,799",071050,2018
2019/12(IFRS연결),-3.38,"72,400","-21,429",071050,2019
2020/12(IFRS연결),-2.23,"79,000","-35,450",071050,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",-1.17,"80,700","-69,019",071050,2021
2017/12(IFRS연결),7.91,"99,500","12,572",011780,2017
2018/12(IFRS연결),6.03,"87,300","14,471",011780,2018
2019/12(IFRS연결),4.65,"77,500","16,652",011780,2019
2020/12(IFRS연결),6.29,"145,000","23,037",011780,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",2.61,"166,000","63,519",011780,2021
2017/12(IFRS연결),26.41,"38,300","1,450",020150,2017
2018/12(IFRS연결),21.95,"41,000","1,867",020150,2018
2019/12(IFRS연결),40.86,"42,750","1,046",020150,2019
2020/12(IFRS연결),47.44,"50,900","1,073",020150,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",208.22,"135,000",648,020150,2021
2017/12(IFRS연결),21.68,"36,746","1,695",000100,2017
2018/12(IFRS연결),28.55,"35,858","1,256",000100,2018
2019/12(IFRS연결),48.85,"43,318",887,000100,2019
2020/12(IFRS연결),185.51,"71,873",387,000100,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",46.68,"62,100","1,330",000100,2021
2017/12(IFRS연결),-15.95,"71,200","-4,463",005830,2017
2018/12(IFRS연결),20.23,"70,400","3,481",005830,2018
2019/12(IFRS연결),1.69,"52,300","31,025",005830,2019
2020/12(IFRS연결),2.49,"43,750","17,548",005830,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",1.68,"54,000","32,151",005830,2021
2017/12(IFRS연결),4.76,"13,900","2,918",005945,2017
2018/12(IFRS연결),-2.46,"13,050","-5,313",005945,2018
2019/12(IFRS연결),56.40,"12,700",225,005945,2019
2020/12(IFRS연결),-0.73,"11,300","-15,511",005945,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",1.10,"12,500","11,388",005945,2021
2017/12(IFRS연결),106.35,"49,520",466,263750,2017
2018/12(IFRS연결),16.49,"41,580","2,521",263750,2018
2019/12(IFRS연결),14.31,"37,040","2,589",263750,2019
2020/12(IFRS연결),21.61,"52,060","2,409",263750,2020
